***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 13/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Ar
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 100.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 10.0250
Desvio Padrão: 0.2196
Tempo Inicial: 143.20 segundos
Tempo Final: 243.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
143.200000	7.622806	7.653422	0.342810	0.169447	0.603470	-229.564260	2702.883086	-52.824828	7.541148	20.431623	30.158487	28.329104	30.973723	29.090828	30.566115	-2.904778	1.485012	0.840997	207430.872865	-0.183231	11.308991	-0.022464	0.000000	2.044969	-0.124344	-0.124345	0.000000	1.558865	10.016883	0.199955	nan
143.400000	7.622661	7.652966	0.330997	0.168932	0.602680	-290.176901	2702.980805	-137.147897	7.539855	20.434854	30.158229	28.330607	30.974561	29.086449	30.563927	-2.904760	1.484796	0.841160	207527.737476	-0.183427	11.308976	-0.022398	0.000000	2.045312	-0.124348	-0.124347	0.000000	1.559006	10.105247	0.199973	nan
143.600000	7.622475	7.652404	0.327273	0.168174	0.595589	-397.350272	2703.003588	-283.716050	7.538500	20.431182	30.157194	28.329389	30.976418	29.078823	30.566467	-2.904783	1.484709	0.840847	207465.714035	-0.184591	11.309005	-0.022270	0.000000	2.044841	-0.124350	-0.124342	0.000000	1.558846	10.133079	0.199952	nan
143.800000	7.622216	7.651896	0.330374	0.168039	0.593554	-525.271145	2702.940232	-431.025674	7.537246	20.419424	30.156293	28.326292	30.983468	29.072424	30.573074	-2.904792	1.484709	0.840664	207361.793550	-0.184113	11.309494	-0.022113	0.000000	2.043803	-0.124352	-0.124339	0.000000	1.558333	10.109636	0.199887	nan
144.000000	7.622054	7.651402	0.330495	0.167688	0.594774	-632.670541	2702.881445	-544.029118	7.535926	20.417060	30.157618	28.325850	30.992329	29.072544	30.579167	-2.904889	1.484680	0.840882	207327.037526	-0.184295	11.310245	-0.022319	0.000000	2.043244	-0.124348	-0.124336	0.000000	1.558230	10.109121	0.199874	nan
144.200000	7.621786	7.650928	0.325855	0.166992	0.590690	-654.510299	2702.910932	-594.602837	7.534597	20.426415	30.160596	28.327092	30.989114	29.081166	30.579387	-2.905147	1.484758	0.841276	207308.880094	-0.184582	11.310749	-0.022640	0.000000	2.043335	-0.124338	-0.124336	0.000000	1.558638	10.144257	0.199926	nan
144.400000	7.621258	7.650565	0.318596	0.167128	0.592499	-593.367446	2703.038783	-570.539679	7.533440	20.431708	30.165171	28.328018	30.978609	29.090042	30.575108	-2.905188	1.484926	0.841877	207112.963342	-0.184375	11.311191	-0.022780	0.000000	2.043810	-0.124335	-0.124339	0.000000	1.558869	10.199704	0.199955	nan
144.600000	7.620718	7.650365	0.313485	0.168021	0.597979	-509.901725	2703.239309	-504.451767	7.532257	20.433275	30.168160	28.329912	30.975090	29.092751	30.571149	-2.905010	1.484714	0.841774	206719.863060	-0.185045	11.311618	-0.022826	0.000000	2.044606	-0.124342	-0.124344	0.000000	1.558937	10.239373	0.199964	nan
144.800000	7.620424	7.650342	0.316585	0.168603	0.594771	-453.684275	2703.285185	-429.137263	7.531018	20.440853	30.167471	28.330786	30.977676	29.090622	30.568161	-2.904957	1.484800	0.841081	206445.359882	-0.185255	11.311834	-0.022683	0.000000	2.044740	-0.124346	-0.124343	0.000000	1.559268	10.215480	0.200007	nan
145.000000	7.620265	7.650319	0.321551	0.168799	0.592135	-428.999089	2703.275302	-359.939047	7.529835	20.446379	30.166963	28.329294	30.975964	29.089489	30.565194	-2.905067	1.485313	0.841267	206347.443356	-0.184974	11.311867	-0.022530	0.000000	2.043504	-0.124342	-0.124339	0.000000	1.559509	10.177078	0.200037	nan
