***Resultados da Análise***
Data do teste experimental: 2025/05/14
Data tratamento: 29/05/2025
Arquivo Original: example/AWD45/AWD45P15/AWD45P15
ID do ponto: P15
Fluido 1: Air
Fluido 2: Water
Direção do escoamento: Downward
Inclinação (theta): 45°
Coluna Critério: PDT-M-0101-40kPa_mA
Tamanho Mínimo da Janela: 150.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 150.0 segundos
Média da Janela: -13417.0883
Desvio Padrão: 1176.4870
Tempo Inicial: 150.00 segundos
Tempo Final: 300.00 segundos
Número de Pontos: 751
***Estatísticas das variáveis na janela***
Variável: Média | Desvio padrão | Incerteza tipo A
Delta P_40,kPa [Pa]: -13417.088295 | 1176.487012 | 42.930621
Delta P_30,kPa [Pa]: -12599.931974 | 1131.192706 | 41.277808
alpha: 0.524280 | 0.008592 | 0.000314
J_water [m/s]: 1.799775 | 0.004971 | 0.000181
J_air [m/s]: 7.037854 | 0.218250 | 0.007964
Q_air [m³/h]: 12.048791 | 0.352195 | 0.012852
Gauge Pressure [Bar]: 1.054498 | 0.027293 | 0.000996
Temperature [°C]: 25.527049 | 0.015531 | 0.000567
rho_air [kg/m³]: 2.397898 | 0.031863 | 0.001163
alpha: 0.524280 | 0.008592 | 0.000314
dP_F/dz PDT-M-0101-40kPa_mA [Pa/m]: 4275.577854 | 673.256325 | 24.567472
dP_F/dz PDT-M-0101D-30Kpa_mA [Pa/m]: 4037.066192 | 646.178349 | 23.579383
***Dados da Janela***
***End_of_Header***
***Resumo Medias***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa_mA	dP_dz_total_PDT-M-0101-40kPa_mA	dP_F/dz PDT-M-0101D-30Kpa_mA	dP_dz_total_PDT-M-0101D-30Kpa_mA	dP_dz_gravitacional
225.000000	7.694477	7.725607	1.054498	0.089973	2.988544	-13417.088295	-10932.674396	-2985.250905	-12599.931974	-13047.034521	8.784076	955.665165	23.067078	22.821149	25.527049	23.361936	23.019196	-2.909701	0.847969	0.978871	198053.325020	-0.190843	12.048791	-0.061866	0.000000	2.033169	-0.124451	-0.124450	14.045665	-0.014469	7.037854	1.799775	nan	0.524280	2.397898	4275.577854	-1204.482292	4037.066192	-957.770460	3298.463759

***Serie Temporal Janelada***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_total_PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101D-30Kpa_mA	dP_F/dz dP_dz_total_PDT-M-0101D-30Kpa_mA
150.000000	7.814586	7.846024	1.030770	0.091400	2.940383	-13977.400129	-10941.459889	-2984.951068	-13127.170726	-13574.273273	8.133745	950.524071	23.109693	22.821123	25.500450	23.375001	22.996615	-2.909689	0.849251	0.979793	199032.861491	-0.187817	11.543841	-0.061878	0.000000	2.031964	-0.124448	-0.124445	14.002525	-0.014471	6.914807	1.794241	nan	0.533902	2.370399	4538.665061	-1204.482292	3232.004009	4280.746884	-957.770460
150.200000	7.814836	7.845533	1.034610	0.090360	2.939854	-13996.645544	-10941.782820	-2984.990961	-13144.639434	-13591.741981	8.136498	949.773251	23.110437	22.819910	25.496478	23.376304	22.996258	-2.909523	0.850906	0.978935	199072.894799	-0.187675	11.544125	-0.061827	0.000000	2.031593	-0.124451	-0.124436	13.996113	-0.014374	6.901470	1.793431	nan	0.534294	2.374915	4547.298051	-1204.482292	3229.323365	4288.341951	-957.770460
150.400000	7.814988	7.845342	1.039227	0.090027	2.953526	-14006.473919	-10941.204593	-2985.223302	-13157.934737	-13605.037284	8.139157	948.583902	23.113218	22.820660	25.492860	23.386038	22.995808	-2.909825	0.848623	0.978043	199087.212397	-0.188254	11.544566	-0.061814	0.000000	2.030425	-0.124454	-0.124441	13.986123	-0.014392	6.885847	1.792148	nan	0.534434	2.380337	4552.130281	-1204.482292	3228.380754	4295.220106	-957.770460
150.600000	7.814785	7.845137	1.040103	0.091041	2.975110	-14005.119518	-10940.276819	-2985.068935	-13152.216069	-13599.318616	8.142064	949.188722	23.117263	22.823374	25.490602	23.399002	22.992233	-2.910092	0.844748	0.978526	199077.749232	-0.188023	11.544808	-0.061870	0.000000	2.032021	-0.124456	-0.124452	13.991105	-0.014283	6.882758	1.792801	nan	0.534341	2.381378	4551.973555	-1204.482292	3229.024825	4292.500255	-957.770460
150.800000	7.814070	7.844731	1.036778	0.092042	2.990501	-13988.974728	-10941.233419	-2984.789920	-13128.639589	-13575.742135	8.145296	950.548761	23.118775	22.825044	25.494808	23.403333	22.986256	-2.909947	0.844556	0.978784	199059.912428	-0.187504	11.544752	-0.062015	0.000000	2.034840	-0.124458	-0.124461	14.002319	-0.014057	6.893707	1.794268	nan	0.534167	2.377461	4543.669379	-1204.482292	3230.209964	4279.816877	-957.770460
151.000000	7.813064	7.844513	1.033103	0.091687	2.986757	-13962.012860	-10942.381343	-2985.221735	-13107.310842	-13554.413388	8.148755	950.933861	23.113526	22.821797	25.504654	23.394960	22.983684	-2.909789	0.846064	0.978362	199042.599341	-0.188728	11.544871	-0.062023	0.000000	2.036296	-0.124457	-0.124461	14.005487	-0.013988	6.906381	1.794683	nan	0.533997	2.373090	4528.970777	-1204.482292	3231.353440	4268.414031	-957.770460
