***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 30/05/2025
Arquivo Original: example/AWH00/AWH00P01/AWH00P01
ID do ponto: P01
Fluido 1: Air
Fluido 2: Water
Direção do escoamento: Horizontal
Inclinação (theta): 0°
***Janela Manual***
Tamanho da Janela: 200.0 segundos
Tempo Inicial: 800.00 segundos
Tempo Final: 1000.00 segundos
Número de Pontos: 1001
***Estatísticas das variáveis na janela***
Variável: Média | Desvio padrão | Incerteza tipo A
Delta P_40,kPa / L [Pa/m]: -217.688683 | 151.514135 | 4.788904
Delta P_30,kPa / L [Pa/m]: -47.535474 | 142.434863 | 4.501935
alpha: 0.497306 | 0.045550 | 0.001440
J_water [m/s]: 0.200087 | 0.000945 | 0.000030
J_air [m/s]: 0.429118 | 0.015200 | 0.000480
Q_air [m³/h]: 0.003226 | 0.000177 | 0.000006
Gauge Pressure [Bar]: 0.400044 | 0.048591 | 0.001536
Temperature [°C]: 30.917027 | 0.072527 | 0.002292
rho_air [kg/m³]: 1.604652 | 0.055577 | 0.001757
alpha: 0.497306 | 0.045550 | 0.001440
dP_F/dz PDT-M-0101-40kPa [Pa/m]: -128.052167 | 89.125962 | 2.817002
dP_F/dz PDT-M-0101C-3kPa [Pa/m]: -27.962044 | 83.785214 | 2.648197
***Dados da Janela***
***End_of_Header***
***Resumo Medias***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	J Ar corrigido	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa	dP_dz_total_PDT-M-0101-40kPa	dP_F/dz PDT-M-0101C-3kPa	dP_dz_total_PDT-M-0101C-3kPa	dP_dz_gravitacional
900.000000	7.783323	7.814319	0.400044	0.161720	0.685149	-217.688683	2766.894394	-47.535474	8.783680	20.455466	30.199466	28.749595	30.917027	29.222911	30.313879	-2.905867	1.483163	0.842869	195379.411568	-0.188095	0.003226	0.576408	0.531567	2.041644	-0.124390	-0.124388	0.000000	1.559892	0.459811	0.200087	nan	0.429118	0.497306	1.604652	-128.052167	156.751306	-27.962044	83.815898	0.000000

***Serie Temporal Janelada***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	J Ar corrigido	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa	dP_F/dz dP_dz_total_PDT-M-0101-40kPa	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101C-3kPa	dP_F/dz dP_dz_total_PDT-M-0101C-3kPa
800.000000	7.841198	7.873191	0.360962	0.162135	0.664694	-168.478107	2770.952282	-229.170078	8.402150	20.375121	30.183653	28.750830	31.090178	29.223725	30.416448	-2.905760	1.484495	0.841187	192225.566548	-0.188397	0.002775	0.564993	0.533098	2.041769	-0.124401	-0.124390	0.000000	1.556400	0.477248	0.199639	nan	0.445392	0.466164	1.558955	-99.104769	156.751306	0.000000	-134.805928	83.815898
800.200000	7.841354	7.872846	0.350938	0.161565	0.659233	-367.543587	2770.827534	-450.280790	8.404576	20.454159	30.180078	28.751289	31.081120	29.221894	30.425256	-2.905807	1.484003	0.841609	192172.707722	-0.185959	0.002736	0.566190	0.533118	2.041615	-0.124395	-0.124386	0.000000	1.559848	0.480774	0.200081	nan	0.448682	0.465628	1.547515	-216.202110	156.751306	0.000000	-264.871053	83.815898
800.400000	7.841805	7.872352	0.349682	0.160515	0.655510	-358.520858	2770.735069	-531.709820	8.407007	20.511202	30.181705	28.750232	31.066073	29.226723	30.430626	-2.905886	1.484388	0.842032	191977.652335	-0.186420	0.003015	0.616286	0.532961	2.041212	-0.124387	-0.124386	0.000000	1.562332	0.481032	0.200400	nan	0.448923	0.463652	1.546152	-210.894622	156.751306	0.000000	-312.770482	83.815898
800.600000	7.841718	7.871811	0.354283	0.160567	0.645319	-244.492323	2770.794777	-432.597623	8.409605	20.522130	30.186976	28.750005	31.047231	29.233566	30.427970	-2.905912	1.485332	0.842210	191732.064565	-0.188305	0.003348	0.713197	0.532898	2.041291	-0.124384	-0.124388	0.000000	1.562808	0.479281	0.200461	nan	0.447289	0.461160	1.551521	-143.819014	156.751306	0.000000	-254.469190	83.815898
800.800000	7.841154	7.871481	0.359101	0.161231	0.633899	-203.475505	2770.994111	-298.310431	8.411965	20.521205	30.193049	28.751677	31.027998	29.238863	30.419793	-2.905926	1.485727	0.842132	191560.910879	-0.187706	0.003306	0.704923	0.533068	2.042021	-0.124388	-0.124389	0.000000	1.562767	0.477683	0.200455	nan	0.445798	0.459422	1.557142	-119.691474	156.751306	0.000000	-175.476724	83.815898
801.000000	7.840724	7.871469	0.362571	0.161527	0.630749	-220.366476	2771.106935	-219.237875	8.414184	20.524915	30.197645	28.751661	31.016799	29.239747	30.413775	-2.906015	1.485504	0.841975	191289.652525	-0.185116	0.003082	0.619998	0.533268	2.041981	-0.124388	-0.124389	0.000000	1.562929	0.476627	0.200476	nan	0.444812	0.456664	1.561177	-129.627339	156.751306	0.000000	-128.963456	83.815898
