***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 16/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Água
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 0.2000
Desvio Padrão: 0.0007
Tempo Inicial: 171.20 segundos
Tempo Final: 271.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
171.200000	7.585511	7.616407	0.304058	0.169236	0.587367	-259.577440	2705.542452	-63.168344	7.367413	20.643817	30.156511	28.328279	30.951095	29.084525	30.574909	-2.904748	1.484589	0.841937	211550.139756	-0.185014	11.325407	-0.022302	0.000000	2.044830	-0.124351	-0.124344	0.000000	1.568096	10.284611	0.201139	nan
171.400000	7.586107	7.616183	0.306652	0.168722	0.599683	-268.084119	2705.456639	-58.456100	7.366177	20.628578	30.155799	28.326296	30.950675	29.080953	30.580044	-2.904685	1.483558	0.842311	211425.178018	-0.185427	11.325311	-0.022388	0.000000	2.044009	-0.124351	-0.124341	0.000000	1.567435	10.263883	0.201054	nan
171.600000	7.586309	7.615663	0.304563	0.168004	0.603055	-272.093442	2705.546687	-54.627525	7.364923	20.625178	30.159056	28.325665	30.941658	29.080169	30.579315	-2.904903	1.483169	0.842077	211082.324600	-0.186512	11.325012	-0.022484	0.000000	2.043860	-0.124349	-0.124343	0.000000	1.567287	10.279148	0.201035	nan
171.800000	7.585706	7.615015	0.299071	0.167498	0.602354	-252.566799	2705.719935	-51.446850	7.363616	20.620684	30.163318	28.327147	30.930140	29.080581	30.576423	-2.904923	1.483866	0.841481	210798.984970	-0.188038	11.324995	-0.022579	0.000000	2.043972	-0.124346	-0.124345	0.000000	1.567092	10.321381	0.201010	nan
172.000000	7.585091	7.614806	0.293097	0.167475	0.602407	-210.647647	2705.824096	-48.056226	7.362216	20.603203	30.162713	28.329778	30.925044	29.082496	30.578390	-2.904886	1.484003	0.841487	210684.122554	-0.186880	11.325592	-0.022613	0.000000	2.044066	-0.124344	-0.124345	0.000000	1.566332	10.369112	0.200913	nan
172.200000	7.584872	7.614606	0.287511	0.167537	0.591107	-160.764636	2705.754944	-44.563891	7.360907	20.569716	30.158891	28.328783	30.926119	29.084227	30.584579	-2.904948	1.483694	0.841855	210624.673461	-0.183541	11.326502	-0.022479	0.000000	2.044190	-0.124342	-0.124342	0.000000	1.564877	10.414784	0.200726	nan
172.400000	7.584856	7.614055	0.282433	0.167244	0.576348	-125.531142	2705.605605	-41.410317	7.359855	20.541316	30.159271	28.325186	30.925701	29.085660	30.588532	-2.904889	1.484194	0.841998	210585.664072	-0.183208	11.326956	-0.022414	0.000000	2.044115	-0.124342	-0.124338	0.000000	1.563642	10.455894	0.200568	nan
172.600000	7.584447	7.613533	0.278718	0.167083	0.566448	-105.587652	2705.668810	-39.426357	7.358689	20.533819	30.165166	28.324186	30.916644	29.088562	30.586346	-2.904880	1.484629	0.842116	210541.234713	-0.186991	11.327182	-0.022414	0.000000	2.043903	-0.124342	-0.124339	0.000000	1.563316	10.485577	0.200526	nan
172.800000	7.583741	7.613195	0.277348	0.167536	0.549710	-87.690562	2705.921863	-38.655733	7.357233	20.537465	30.173196	28.326416	30.901347	29.094093	30.578912	-2.905073	1.484608	0.842258	210493.564486	-0.188162	11.327703	-0.022357	0.000000	2.043798	-0.124339	-0.124340	0.000000	1.563475	10.496288	0.200546	nan
173.000000	7.583319	7.613149	0.278849	0.168723	0.530427	-94.215113	2706.125734	-37.876862	7.356082	20.541883	30.178382	28.328552	30.891560	29.098370	30.570218	-2.905253	1.484932	0.842250	210460.075982	-0.184828	11.328097	-0.022530	0.000000	2.043724	-0.124338	-0.124338	0.000000	1.563667	10.483858	0.200571	nan
173.200000	7.582916	7.613363	0.282299	0.170037	0.518882	-156.254432	2706.180054	-39.222757	7.355178	20.542753	30.177049	28.329363	30.891951	29.096062	30.565946	-2.905263	1.485446	0.842242	210457.052582	-0.183237	11.328267	-0.022806	0.000000	2.043876	-0.124338	-0.124336	0.000000	1.563705	10.456044	0.200576	nan
